1768438305 INTERNAL *** MONITORD_STARTED ***
1768438304 INTERNAL *** DAGMAN_STARTED 1.0 ***
1768438305 create_dir_plankifier-wf_0_local SUBMIT 2.0 local - 1
1768438305 stage_worker_local_plankifier-wf_0_local SUBMIT 3.0 local - 2
1768438309 stage_worker_local_plankifier-wf_0_local EXECUTE 3.0 local - 2
1768438309 create_dir_plankifier-wf_0_local EXECUTE 2.0 local - 1
1768438311 create_dir_plankifier-wf_0_local JOB_TERMINATED 2.0 local - 1
1768438315 create_dir_plankifier-wf_0_local JOB_SUCCESS 0 local - 1
1768438315 create_dir_plankifier-wf_0_local POST_SCRIPT_STARTED 2.0 local - 1
1768438312 stage_worker_local_plankifier-wf_0_local JOB_TERMINATED 3.0 local - 2
1768438315 stage_worker_local_plankifier-wf_0_local JOB_SUCCESS 0 local - 2
1768438315 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_STARTED 3.0 local - 2
1768438315 create_dir_plankifier-wf_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1768438320 create_dir_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1768438315 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_TERMINATED 3.0 local - 2
1768438320 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 2
1768438325 stage_in_local_local_1_0 SUBMIT 4.0 local - 3
1768438325 plankifier_ID0000001 SUBMIT 5.0 condorpool - 4
1768438325 stage_in_local_local_1_0 EXECUTE 4.0 local - 3
1768438327 stage_in_local_local_1_0 JOB_TERMINATED 4.0 local - 3
1768438330 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 3
1768438330 stage_in_local_local_1_0 POST_SCRIPT_STARTED 4.0 local - 3
1768438330 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 4.0 local - 3
1768438335 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1768438348 plankifier_ID0000001 EXECUTE 5.0 condorpool - 4
1768438416 plankifier_ID0000001 JOB_TERMINATED 5.0 condorpool - 4
1768438420 plankifier_ID0000001 JOB_SUCCESS 0 condorpool - 4
1768438420 plankifier_ID0000001 POST_SCRIPT_STARTED 5.0 condorpool - 4
1768438420 plankifier_ID0000001 POST_SCRIPT_TERMINATED 5.0 condorpool - 4
1768438425 plankifier_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 4
1768438430 stage_out_local_local_0_0 SUBMIT 6.0 local - 5
1768438430 count_ID0000002 SUBMIT 7.0 condorpool - 6
1768438430 stage_out_local_local_0_0 EXECUTE 6.0 local - 5
1768438431 count_ID0000002 EXECUTE 7.0 condorpool - 6
1768438432 count_ID0000002 JOB_TERMINATED 7.0 condorpool - 6
1768438435 count_ID0000002 JOB_SUCCESS 0 condorpool - 6
1768438435 count_ID0000002 POST_SCRIPT_STARTED 7.0 condorpool - 6
1768438433 stage_out_local_local_0_0 JOB_TERMINATED 6.0 local - 5
1768438435 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 5
1768438435 stage_out_local_local_0_0 POST_SCRIPT_STARTED 6.0 local - 5
1768438435 count_ID0000002 POST_SCRIPT_TERMINATED 7.0 condorpool - 6
1768438440 count_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 6
1768438435 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 6.0 local - 5
1768438440 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1768438445 clean_up_local_level_3_0 SUBMIT 8.0 local - 7
1768438445 stage_out_local_local_1_0 SUBMIT 9.0 local - 8
1768438445 register_local_0_0 SUBMIT 10.0 local - 9
1768438445 clean_up_local_level_3_0 EXECUTE 8.0 local - 7
1768438446 stage_out_local_local_1_0 EXECUTE 9.0 local - 8
1768438446 register_local_0_0 EXECUTE 10.0 local - 9
1768438448 register_local_0_0 JOB_TERMINATED 10.0 local - 9
1768438450 register_local_0_0 JOB_SUCCESS 0 local - 9
1768438450 register_local_0_0 POST_SCRIPT_STARTED 10.0 local - 9
1768438448 stage_out_local_local_1_0 JOB_TERMINATED 9.0 local - 8
1768438450 stage_out_local_local_1_0 JOB_SUCCESS 0 local - 8
1768438450 stage_out_local_local_1_0 POST_SCRIPT_STARTED 9.0 local - 8
1768438450 clean_up_local_level_3_0 JOB_TERMINATED 8.0 local - 7
1768438450 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1768438450 clean_up_local_level_3_0 POST_SCRIPT_STARTED 8.0 local - 7
1768438450 register_local_0_0 POST_SCRIPT_TERMINATED 10.0 local - 9
1768438455 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 9
1768438450 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 9.0 local - 8
1768438455 stage_out_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 8
1768438450 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 8.0 local - 7
1768438455 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1768438460 clean_up_local_level_4_0 SUBMIT 11.0 local - 10
1768438460 register_local_1_0 SUBMIT 12.0 local - 11
1768438461 clean_up_local_level_4_0 EXECUTE 11.0 local - 10
1768438461 register_local_1_0 EXECUTE 12.0 local - 11
1768438463 register_local_1_0 JOB_TERMINATED 12.0 local - 11
1768438465 register_local_1_0 JOB_SUCCESS 0 local - 11
1768438465 register_local_1_0 POST_SCRIPT_STARTED 12.0 local - 11
1768438463 clean_up_local_level_4_0 JOB_TERMINATED 11.0 local - 10
1768438465 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 10
1768438465 clean_up_local_level_4_0 POST_SCRIPT_STARTED 11.0 local - 10
1768438466 register_local_1_0 POST_SCRIPT_TERMINATED 12.0 local - 11
1768438470 register_local_1_0 POST_SCRIPT_SUCCESS 0 local - 11
1768438466 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 11.0 local - 10
1768438470 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 10
1768438475 cleanup_plankifier-wf_0_local SUBMIT 13.0 local - 12
1768438475 cleanup_plankifier-wf_0_local EXECUTE 13.0 local - 12
1768438477 cleanup_plankifier-wf_0_local JOB_TERMINATED 13.0 local - 12
1768438480 cleanup_plankifier-wf_0_local JOB_SUCCESS 0 local - 12
1768438480 cleanup_plankifier-wf_0_local POST_SCRIPT_STARTED 13.0 local - 12
1768438480 cleanup_plankifier-wf_0_local POST_SCRIPT_TERMINATED 13.0 local - 12
1768438485 cleanup_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 12
1768438485 INTERNAL *** DAGMAN_FINISHED 0 ***
1768438487 INTERNAL *** MONITORD_FINISHED 0 ***
